2020-11-19 00:08:57.8389||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\B\source\repos\GIJoe\GIJoe\GIJoe |url: |action: 
2020-11-19 00:08:57.9072||ERROR|GIJoe.Controllers.HomeController|test error log |url: http://localhost/|action: Index
2020-11-19 00:08:58.2335||INFO|GIJoe.Controllers.HomeController|name:Microsoft.EntityFrameworkCore.Internal.InternalDbSet`1[GIJoe.Models.nameages],age:GIJoe.Models.nameages |url: http://localhost/|action: Index
2020-11-19 00:09:30.8038||DEBUG|GIJoe.Program|init main |url: |action: 
2020-11-19 00:09:33.1692||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-11-19 00:09:33.1859||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-11-19 00:09:33.2100||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\B\source\repos\GIJoe\GIJoe\GIJoe |url: |action: 
2020-11-19 00:09:33.2632||ERROR|GIJoe.Controllers.HomeController|test error log |url: http://localhost/|action: Index
2020-11-19 00:09:33.6183||INFO|GIJoe.Controllers.HomeController|name:GIJoe.Models.nameages,age:GIJoe.Models.nameages |url: http://localhost/|action: Index
2020-11-19 00:11:44.7394||DEBUG|GIJoe.Program|init main |url: |action: 
2020-11-19 00:11:47.1874||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-11-19 00:11:47.1874||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-11-19 00:11:47.2117||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\B\source\repos\GIJoe\GIJoe\GIJoe |url: |action: 
2020-11-19 00:11:47.2903||ERROR|GIJoe.Controllers.HomeController|test error log |url: http://localhost/|action: Index
2020-11-19 00:11:47.9604||INFO|GIJoe.Controllers.HomeController|name:System.Collections.Generic.List`1[GIJoe.Models.nameages],age:GIJoe.Models.nameages |url: http://localhost/|action: Index
2020-11-19 00:12:17.7867||DEBUG|GIJoe.Program|init main |url: |action: 
2020-11-19 00:12:19.9777||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-11-19 00:12:19.9840||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-11-19 00:12:20.0007||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\B\source\repos\GIJoe\GIJoe\GIJoe |url: |action: 
2020-11-19 00:12:20.0834||ERROR|GIJoe.Controllers.HomeController|test error log |url: http://localhost/|action: Index
2020-11-19 00:12:20.4449||INFO|GIJoe.Controllers.HomeController|name:GIJoe.Models.nameages,age:GIJoe.Models.nameages |url: http://localhost/|action: Index
2020-11-19 00:13:52.3855||DEBUG|GIJoe.Program|init main |url: |action: 
2020-11-19 00:13:54.9221||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-11-19 00:13:54.9476||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-11-19 00:13:54.9656||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\B\source\repos\GIJoe\GIJoe\GIJoe |url: |action: 
2020-11-19 00:13:55.1155||ERROR|GIJoe.Controllers.HomeController|test error log |url: http://localhost/|action: Index
2020-11-19 00:13:55.4438||INFO|GIJoe.Controllers.HomeController|name:GIJoe.Models.nameages,age:GIJoe.Models.nameages |url: http://localhost/|action: Index
2020-11-19 00:17:29.4423||DEBUG|GIJoe.Program|init main |url: |action: 
2020-11-19 00:17:31.6096||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2020-11-19 00:17:31.6096||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2020-11-19 00:17:31.6332||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\B\source\repos\GIJoe\GIJoe\GIJoe |url: |action: 
2020-11-19 00:17:31.6906||ERROR|GIJoe.Controllers.HomeController|test error log |url: http://localhost/|action: Index
2020-11-19 00:17:31.9593||INFO|GIJoe.Controllers.HomeController|name:charlie,age:23 |url: http://localhost/|action: Index
2020-11-19 00:17:31.9593||INFO|GIJoe.Controllers.HomeController|name:steven,age:25 |url: http://localhost/|action: Index
